,eleve,note,groupe,quizz
82,eleve192,"85,71 %",Unknown,td1
83,eleve193,"42,86 %",Unknown,td1
84,eleve194,"42,86 %",Unknown,td1
85,eleve195,"42,86 %",Unknown,td1
86,eleve200,"85,71 %",Unknown,td1
87,eleve202,"57,14 %",Unknown,td1
88,eleve203,"57,14 %",Unknown,td1
89,eleve204,"71,43 %",Unknown,td1
90,eleve205,"42,86 %",Unknown,td1
91,eleve207,"42,86 %",Unknown,td1
92,eleve7,100 %,ibo7,td3
93,eleve9,"83,33 %",ibo7,td3
94,eleve10,100 %,ibo7,td3
95,eleve13,100 %,ibo7,td3
96,eleve15,100 %,ibo7,td3
97,eleve16,"66,67 %",ibo7,td3
98,eleve17,100 %,ibo7,td3
99,eleve21,"83,33 %",ibo7,td3
100,eleve28,"83,33 %",ibo7,td3
101,eleve35,100 %,ibo7,td3
102,eleve36,100 %,ibo7,td3
103,eleve42,"66,67 %",ibo7,td3
104,eleve48,100 %,ibo7,td3
105,eleve54,100 %,ibo7,td3
106,eleve75,100 %,ibo7,td3
107,eleve100,100 %,ibo7,td3
108,eleve101,100 %,ibo7,td3
109,eleve114,100 %,ibo7,td3
110,eleve104,100 %,ibo7,td3
111,eleve105,"83,33 %",ibo7,td3
112,eleve3,100 %,ibo1,td4
113,eleve12,"85,71 %",ibo1,td4
114,eleve18,100 %,ibo1,td4
115,eleve20,100 %,ibo1,td4
116,eleve27,"85,71 %",ibo1,td4
117,eleve31,"85,71 %",ibo1,td4
118,eleve33,100 %,ibo1,td4
119,eleve34,"71,43 %",ibo1,td4
120,eleve46,100 %,ibo1,td4
121,eleve45,100 %,ibo1,td4
122,eleve47,100 %,ibo1,td4
123,eleve77,100 %,ibo1,td4
124,eleve96,100 %,ibo1,td4
125,eleve91,100 %,ibo1,td4
126,eleve102,100 %,ibo1,td4
127,eleve103,100 %,ibo1,td4
128,eleve106,100 %,ibo1,td4
129,eleve110,100 %,ibo1,td4
130,eleve133,100 %,ibo1,td4
131,eleve131,100 %,ibo1,td4
132,eleve147,100 %,ibo1,td4
133,eleve153,100 %,ibo1,td4
134,eleve154,"71,43 %",ibo1,td4
135,eleve164,100 %,ibo1,td4
136,eleve178,100 %,ibo1,td4
137,eleve179,100 %,ibo1,td4
138,eleve197,100 %,ibo1,td4
139,eleve199,100 %,ibo1,td4
140,eleve201,100 %,ibo1,td4
141,eleve206,100 %,ibo1,td4
142,eleve3,100 %,ibo1,td3
143,eleve12,100 %,ibo1,td3
144,eleve18,"83,33 %",ibo1,td3
145,eleve20,100 %,ibo1,td3
146,eleve27,"83,33 %",ibo1,td3
147,eleve31,"83,33 %",ibo1,td3
148,eleve33,100 %,ibo1,td3
149,eleve34,50 %,ibo1,td3
150,eleve45,100 %,ibo1,td3
151,eleve47,"66,67 %",ibo1,td3
152,eleve77,"83,33 %",ibo1,td3
153,eleve96,100 %,ibo1,td3
154,eleve91,"83,33 %",ibo1,td3
155,eleve102,100 %,ibo1,td3
156,eleve103,"83,33 %",ibo1,td3
157,eleve110,100 %,ibo1,td3
158,eleve133,100 %,ibo1,td3
159,eleve131,100 %,ibo1,td3
160,eleve153,100 %,ibo1,td3
161,eleve154,100 %,ibo1,td3
